품목일련번호,주성분
201800124,벤포티아민|리보플라빈|니코틴산아미드|판토텐산칼슘|피리독신염산염|비오틴|폴산|시아노코발라민1000배산|이노시톨|콜린타르타르산염|산화아연|토코페롤아세테이트2배산|셀레늄함유건조효모|콜레칼시페롤농축물(분말형)|산화마그네슘|감마오리자놀
201507217,포비돈요오드
200511943,아셀렌산나트륨오수화물
201701571,아셀렌산나트륨오수화물
199200813,글루쿠로노락톤|오로트산수화물|카페인무수물|니코틴산아미드|리보플라빈|피리독신염산염
200005559,포비돈요오드
201904494,리도카인
201600574,오로트산카르니틴|항독성간장엑스|아데닌염산염|피리독신염산염|리보플라빈|시아노코발라민100배산
198601398,트리프롤리딘염산염수화물|슈도에페드린염산염
201700839,L-아르기닌|베타인|베타인염산염|시트르산수화물
200808096,밀크시슬열매건조엑스|티아민질산염|피리독신염산염|니코틴산아미드|판토텐산칼슘|시아노코발라민
202102087,L-아르기닌|베타인|베타인염산염|시트르산수화물
200308596,디펜히드라민|l-멘톨|디부카인염산염|dl-캄파|에녹솔론
201507261,라니티딘염산염
199902902,디히드록시디부틸에테르
198802329,디히드록시디부틸에테르
198802326,디히드록시디부틸에테르
198601346,시메티콘
201908292,트리메부틴말레산염
201604859,시메치콘
201501890,시메티콘
201405117,시메티콘
201800788,L-아스파르트산-L-오르니틴
197600614,베타-갈락토시다제(아스퍼길루스)
201903837,차아염소산나트륨0.14%액
200702008,피레트린엑스|피페로닐부톡시드
201500053,γ-오리자놀|피리독신염산염|티아민질산염|산화마그네슘|토코페롤아세테이트
201603917,토코페롤아세테이트|산화마그네슘|피리독신염산염|티아민질산염|감마오리자놀
200004479,갈근|마황|대추|육계|작약|감초|건강|에텐자미드|클로르페니라민말레산염|노스카핀|카페인무수물
200801645,알긴산나트륨|탄산칼슘|탄산수소나트륨
200606295,알긴산나트륨|탄산수소나트륨|탄산칼슘
200500268,포비돈요오드
201700245,폴리소르베이트80
197000208,탄산수소나트륨|황백가루
199501099,건조수산화알루미늄겔
196400046,건조수산화알루미늄겔|침강탄산칼슘|탄산마그네슘|탄산수소나트륨
202007294,이부프로펜|산화마그네슘
202107495,아세트아미노펜
201908295,이부프로펜|파마브롬
202006756,아세트아미노펜|벤포티아민|리보플라빈|제피아스코르브산
201708500,디클로페낙나트륨
201310271,알마게이트
199001305,구아야줄렌|디메티콘
201400916,알긴산나트륨|탄산수소나트륨|침강탄산칼슘
201403247,알긴산나트륨|탄산수소나트륨|탄산칼슘
201907880,알긴산나트륨|탄산수소나트륨|침강탄산칼슘
200607914,알마게이트
201201680,레티놀팔미테이트|에르고칼시페롤|티아민염산염|리보플라빈|피리독신염산염|시아노코발라민|아스코르브산|토코페롤아세테이트|니코틴산아미드|판토텐산칼슘|콜린타르타르산염|이노시톨|폴산|γ-오리자놀
201708580,인산알루미늄겔|수산화마그네슘|시메티콘|DL-카르니틴염산염
199702146,케토프로펜
200501415,토코페롤아세테이트|아스코르브산|β-카로틴현탁액30%|유비데카레논|티아민질산염|리보플라빈|피리독신염산염|산화아연|셀레늄가루0.1%
201403474,나프록센
201307766,콜레칼시페롤과립|유비데카레논
200904353,아스코르브산97%과립
200612402,아시클로버
201906917,트레할로스수화물
201309112,아스피린
202106054,파모티딘
202107682,덱스판테놀
201206820,아스피린
201801425,디펜히드라민|디부카인염산염|크로타미톤|L-멘톨|dl-캄파|에녹솔론
200600411,폴리사카리드철착염|시아노코발라민1000배산|폴산
200202997,살리실산|락트산
199101745,아시클로버
201205043,유비데카레논|콜레칼시페롤농축분말|토코페롤아세테이트2배산|제피아스코르브산|폴산|리보플라빈|티아민질산염|니코틴산아미드|피리독신염산염|시아노코발라민1%|비오틴|판토텐산칼슘|푸마르산철|산화제이구리|산화아연|황산망간수화물|산화마그네슘
201306109,탄산칼슘|콜레칼시페롤농축분말
200802314,토코페롤아세테이트|아스코르브산|β-카로틴현탁액30%|유비데카레논|산화아연|셀레늄가루0.1%
199902612,결정글루코사민황산염
201507097,살리실산글리콜|L-멘톨|토코페롤아세테이트|황백연조엑스(3.3-->1)
200402786,황백연조엑스(3.3→1)|치자연조엑스(3.0→1)|산초30%에탄올연조엑스(3.3→1)|살리실산글리콜|L-멘톨|d-캄파|글리시리진산|토코페롤아세테이트
201503562,간가수분해물(4→1)|우르소데옥시콜산|리보플라빈포스페이트나트륨
201600289,간가수분해물(4→1)|우르소데옥시콜산|리보플라빈
201802148,살리실산글리콜|l-멘톨|dl-캄파|토코페롤아세테이트|황백연조엑스(3.3→1)|치자연조엑스(3.0→1)
201701095,벤포티아민|니코틴산아미드|피리독신염산염|리보플라빈|산화아연|우르소데옥시콜산
201903344,벤포티아민|니코틴산아미드|피리독신염산염|리보플라빈|산화아연|우르소데옥시콜산
201702015,아스피린
201907347,리보플라빈|니코틴산아미드|피리독신염산염|토코페롤아세테이트|티아민질산염|D-판테놀|로얄젤리
202107393,쌍화탕연조엑스
200608182,리보플라빈포스페이트나트륨|니코틴산아미드|피리독신염산염|토코페롤아세테이트|유비데카레논|로얄젤리
201404328,감초|건강|육계|대추|작약|아세트아미노펜
201908635,감초|육계|행인|마황|아세트아미노펜
200908059,시트룰린말산염
201402679,프라목신염산염
201502890,글루타티온(환원형)
200103999,알킬디아미노에틸글리신염산염액40%
201800233,포비돈요오드
200203626,포비돈요오드
200302817,포비돈요오드
200801346,글루콘산클로르헥시딘액
200302820,알킬디아미노에틸글리신염산염액40%|이소프로판올
200801347,글루콘산클로르헥시딘액
200801686,리보플라빈부티레이트|피리독신염산염|아스코르브산97%과립|니코틴산아미드|d-비오틴1%|L-시스테인|의이인엑스(13→1)
200809204,리보플라빈부티레이트|피리독신염산염|제피아스코르브산|L-시스테인|니코틴산아미드|판토텐산칼슘|비오틴|의이인엑스(13→1)
200102905,로라타딘
201900929,아시클로버
201404877,아스피린
199700530,아시클로버
201708002,도큐세이트나트륨|비사코딜|센나열매가루|감초엑스산|작약엑스산
200900682,덱시부프로펜
201503529,아세트아미노펜|페닐레프린염산염|클로르페니라민말레산염
201503528,아세트아미노펜|구아이페네신|에페드린염산염|클로르페니라민말레산염|카페인무수물
202106656,레보노르게스트렐|에티닐에스트라디올
201705221,아세트아미노펜|브롬페니라민말레산염|슈도에페드린염산염
202107347,이부프로펜|파마브롬|산화마그네슘|리보플라빈
201903015,덱시부프로펜
201800891,디클로페낙나트륨
200902301,이부프로펜|알릴이소프로필아세틸우레아|카페인무수물
201400509,덱스트로메토르판브롬화수소산염수화물|노스카핀염산염수화물|트리메토퀴놀염산염수화물|구아이페네신|클로르페니라민말레산염
201705220,아세트아미노펜|노스카핀염산염수화물|클로페라스틴염산염
201705219,아세트아미노펜|슈도에페드린염산염|브롬페니라민말레산염|클로페라스틴염산염|구아이페네신
200906330,이부프로펜|알릴이소프로필아세틸우레아|카페인무수물|산화마그네슘
198800444,비타민이프리퍼레이션
198700431,비타민이프리퍼레이션
199502365,판크레아틴|셀룰라제|우담즙건조엑스|디메티콘
200202148,덱시부프로펜
199603311,농글리세린
201802836,옥시메타졸린염산염
201603449,클로르페니라민말레산염|슈도에페드린염산염
200902769,클로르페니라민말레산염|페닐레프린염산염|벨라돈나총알칼로이드
202007330,비사코딜|우르소데옥시콜산|도큐세이트나트륨
202002580,피록시캄
200701274,나파졸린염산염|디부카인염산염|디펜히드라민염산염|알란토인|클로르헥시딘글루콘산염액
199803877,알킬디아미노에틸글리신염산염액40%|이소프로판올
201405928,클로르페니라민말레산염|dl-메틸에페드린염산염|구아야콜설폰산칼륨|카페인무수물|감초엑스(5.9→1)|길경엑스(3.7→1)
201901010,구아이페네신|슈도에페드린염산염|덱스트로메토르판브롬화수소산염수화물
201402984,아세트아미노펜|구아이페네신|슈도에페드린염산염|덱스트로메토르판브롬화수소산염수화물|카르비녹사민말레산염
200502775,클로르페니라민말레산염|아세트아미노펜|dl-메틸에페드린염산염|덱스트로메토르판브롬화수소산염수화물
200608329,아세트아미노펜|클로르페니라민말레산염|슈도에페드린염산염
201802109,포비돈요오드
199600830,돔페리돈
200004840,클로르헥시딘글루콘산염액
200004835,알킬디아미노에틸글리신염산염액40%
200503144,알킬디아미노에틸글리신염산염액40%
200302512,살리실산|락트산
200502782,이부프로펜
201801264,포비돈요오드
199904088,포비돈요오드
200611367,포비돈요오드
199503352,포비돈요오드
200901086,클로르헥시딘글루콘산염액|에탄올
201505097,클로르헥시딘글루콘산염액|에탄올
201804672,클로르헥시딘글루콘산염액
201901012,클로르헥시딘글루콘산염액
202005237,클로르헥시딘글루콘산염액
201801263,클로르헥시딘글루콘산염액
201803651,클로르헥시딘글루콘산염액
201506622,클로르헥시딘글루콘산염액|에탄올
200302514,클로르헥시딘글루콘산염액
201307834,알마게이트
201207377,덱시부프로펜
201402959,아스피린
201305220,글루타티온(환원형)
202101356,푸르설티아민|피리독신염산염|시아노코발라민100배산|폴산
202009258,글루타민|탄산칼슘
199701904,L-리신염산염|코바마미드|L-글루타민|L-페닐알라닌|L-트레오닌|L-발린|L-메티오닌|L-류신|L-이소류신
201902007,글루타티온(환원형)
202002332,글루타티온(환원형)
201202397,카르보시스테인|브롬헥신염산염
200004264,덱스트로메토르판브롬화수소산염수화물|노스카핀염산염수화물|트리메토퀴놀염산염수화물|구아이페네신|d-클로르페니라민말레산염
201508445,카르보시스테인|브롬헥신염산염
201605499,카르보시스테인|브롬헥신염산염
201603223,카르보시스테인|브롬헥신염산염
201606791,L-카르보시스테인|브롬헥신염산염
201309432,감초|건강|육계|마황|반하|세신|오미자|작약|아세트아미노펜|클로르페니라민말레산염
201309433,작약|육계|감초|갈근|마황|대추|건강|아세트아미노펜
201309431,감초|갱미|대추|맥문동|반하|인삼|아세트아미노펜|티페피딘히벤즈산염
200109392,위령선|목별자|피마자|몰약|유향|L-멘톨|산화아연|살리실산메틸
200002783,L-시스틴
197200084,브로멜라인|결정트립신
200803434,세티리진염산염
200000493,덱스트로메토르판브롬화수소산염수화물|dl-메틸에페드린염산염|노스카핀|구아이페네신|클로르페니라민말레산염
199900216,아선약|L-멘톨|고추틴크|현호색|육계|정향|건강|육두구|창출|진피|후박
200200166,육계건조엑스|진피건조엑스|건강건조엑스(5ㆍ6→1)|용담가루|감초엑스|DL-카르니틴염산염|L-멘톨
201508272,시메티콘
198900667,아선약|L-멘톨|진피|고추틴크|현호색|육계|정향|건강|육두구|후박|창출
202002089,디오스민
200904182,레티놀팔미테이트|농축콜레칼시페롤유|티아민질산염|리보플라빈|시아노코발라민|아스코르브산
199803133,세티리진염산염
202201153,파모티딘
200404625,미녹시딜
200503609,미녹시딜
200404626,미녹시딜
199800354,테르비나핀염산염
200300114,네오마이신황산염|바시트라신아연|폴리믹신B황산염|프라목신염산염
199401319,나프록센나트륨
199701981,테르비나핀염산염
198701721,이부프로펜
201403877,나프록센
198900833,나파졸린염산염|클로르페니라민말레산염|글리시리진산이칼륨
201502828,자일로메타졸린염산염
200202212,테르비나핀염산염
199701567,테르비나핀염산염
199802633,테르비나핀염산염
199900298,디클로페낙디에틸암모늄
199604593,엔-아세틸아스파틸글루타민산나트륨
201707455,디아스타제·프로테아제·셀룰라제|리파제|우르소데옥시콜산|시메티콘파우더
202200195,아세트아미노펜
201906314,아세트아미노펜
201306491,나프록센
201401095,나프록센
201309340,구아야줄렌
200004101,살리실산글리콜|dl-캄파|박하유|토코페롤아세테이트
200301635,베타메타손발레레이트|겐타마이신황산염
201604724,아세트아미노펜|구아이페네신|슈도에페드린염산염|클로르페니라민말레산염
201604716,구아이페네신|dl-메틸에페드린염산염|덱스트로메토르판브롬화수소산염수화물|클로르페니라민말레산염
201604721,아세트아미노펜|구아이페네신|슈도에페드린염산염|덱스트로메토르판브롬화수소산염수화물|클로르페니라민말레산염
201602427,무수인산수소칼슘|시아노코발라민1000배산|염화크롬수화물|요오드화칼륨|몰리브덴산나트륨|폴산|레티놀아세테이트|피토나디온5%|리보플라빈|베타카로틴20%과립|티아민질산염|피리독신염산염|비오틴|콜레칼시페롤과립|황산제이구리수화물|황산망간|판토텐산칼슘|산화아연|니코틴산아미드|토코페롤아세테이트2배산|셀레늄가루0.1%|푸마르산철|아스코르브산97%과립|산화마그네슘|황산칼륨|우르소데옥시콜산|콜린타르타르산염|오로트산수화물
200906231,염화나트륨
199302995,말레인산페니라민|나파졸린염산염
199202073,케토코나졸
199500319,아세트아미노펜|클로르페니라민말레산염|티페피딘시트르산염|dl-메틸에페드린염산염|카페인수화물
201605527,나프티핀염산염
200500806,나프록센나트륨
201701248,나프록센나트륨
200204388,나프록센나트륨
199802387,나프록센나트륨
201500014,나프티핀염산염
202003877,나프록센
201902876,나프록센
201607113,나프티핀염산염
201606467,나프티핀염산염
201206888,나프티핀염산염
200803287,나프티핀염산염
201400552,나프티핀염산염
201501592,나프록센
197500016,나프록센
201101508,아세트아미노펜|클로르페니라민말레산염|슈도에페드린염산염
201101801,dl-메틸에페드린염산염|클로르페니라민말레산염|구아이페네신|덱스트로메토르판브롬화수소산염수화물
201107450,클로르페니라민말레산염|슈도에페드린염산염|구아이페네신|아세트아미노펜
201802270,L-아르기닌|베타인|베타인염산염|시트르산수화물
202102183,클로트리마졸|크로타미톤|리도카인|l-멘톨
201606068,시메티콘
199302919,살리실산메틸|d-캄파|L-멘톨|글리시리진산|황백연조엑스(3.3→1)|치자연조엑스(3.0→1)|산초30%에탄올연조엑스(3.3→1)
201201967,피리독신염산염|티아민질산염|시아노코발라민1000배산|리보플라빈|제피아스코르브산|폴산|d-비오틴|니코틴산아미드|판토텐산칼슘
202002321,알벤다졸
199801121,퓨시드산나트륨
200801383,구연산칼슘|농축콜레칼시페롤
201309541,아세트아미노펜|클로르페니라민말레산염|카페인무수물|슈도에페드린염산염|소청룡탕건조엑스
201706691,소청룡탕건조엑스|아세트아미노펜|티페피딘히벤즈산염|클로르페니라민말레산염|카페인무수물
201800286,덱스트로메토르판브롬화수소산염수화물|dl-메틸에페드린염산염|노스카핀|구아야콜설폰산칼륨|카르비녹사민말레산염|감초가루|길경가루
200204181,히드로퀴논
201803647,클로닉신리시네이트
200801735,센텔라정량추출물|히드로코르티손아세테이트|네오마이신황산염
201705764,네오마이신황산염|폴리믹신B황산염|바시트라신아연|프라목신염산염
201505910,시클로피록스
199802000,피리독신염산염|티아민질산염|시아노코발라민|아스코르브산|폴산|비오틴|니코틴산아미드|판토텐산칼슘|리보플라빈
201601612,리도카인
200502970,레티놀팔미테이트|농축콜레칼시페롤(유상)|토코페롤아세테이트|티아민질산염|리보플라빈|시아노코발라민1000배산|아스코르브산|피리독신염산염|니코틴산아미드|판토텐산칼슘|무수인산수소칼슘|산화마그네슘|산화제이구리|황산망간수화물|산화아연|건조황산제일철
199804331,암브록솔염산염
199804362,침강탄산칼슘
201901124,아세트아미노펜|푸르설티아민
201310349,아스피린
201804383,콘드로이틴설페이트나트륨|푸르설티아민|니코틴산아미드|이노시톨|콜린타르타르산염|판토텐산칼슘|피리독신염산염|시아노코발라민1000배산|리보플라빈|γ-오리자놀|콜레칼시페롤과립
199802138,로라타딘
199501735,이부프로펜
199501736,이부프로펜
201701092,아모롤핀염산염
201402653,알긴산나트륨|탄산수소나트륨|탄산칼슘
201506162,탄산수소나트륨|메타규산알루민산마그네슘|수산화마그네슘|감초가루|디아스타제·프로테아제·셀룰라제1000|육계가루|건강가루|용담가루
201506161,침강탄산칼슘|디아스타제·프로테아제·셀룰라제1000|감초가루|탄산수소나트륨|탄산마그네슘|건조수산화알루미늄겔
201404746,탄산수소나트륨|글리신|L-멘톨|고추틴크
201404436,탄산수소나트륨|메타규산알루민산마그네슘|수산화마그네슘|스코폴리아엑스10배산|디아스타제·프로테아제·셀룰라제1000|육계가루|건강가루|용담가루
201404601,침강탄산칼슘|디아스타제·프로테아제·셀룰라제1000|스코폴리아엑스10배산|탄산수소나트륨|탄산마그네슘|건조수산화알루미늄겔
200300960,보에마이트
198601395,클로닉신리시네이트
200403030,테르비나핀염산염
200902986,테르비나핀염산염
200004086,겐타마이신황산염|베타메타손발레레이트
202106248,나프록센나트륨
200502837,메클리진염산염수화물|카페인무수물|피리독신염산염
200606745,시클로피록스올아민
200904822,염화알루미늄
200802778,염화알루미늄
201301732,헤파린나트륨|알란토인|덱스판테놀
200003481,센텔라정량추출물|네오마이신황산염|히드로코르티손아세테이트
200906281,노스카핀|dl-메틸에페드린염산염|카르비녹사민말레산염|구아야콜설폰산칼륨|덱스트로메토르판브롬화수소산염수화물
202002642,옥세타자인|탄산마그네슘|건조수산화알루미늄겔
200003117,노녹시놀9
201701612,아미노벤조산에틸|카페인수화물|클로르페니라민말레산염|니코틴산아미드|파파베린염산염|리보플라빈|티아민염산염|노회
200511325,판크레아틴장용성제피정
200907915,판크레아틴장용성제피미세정
201307930,판크레아틴장용성제피펠렛
202201683,클로르페니라민말레산염|페닐레프린염산염|벨라돈나총알칼로이드
201402832,슈도에페드린염산염|트리프롤리딘염산염
201907005,자일로메타졸린염산염|L-카르보시스테인
201206822,나파졸린염산염|클로르페니라민말레산염|글리시리진산디칼륨
201308196,나파졸린염산염|클로르페니라민말레산염|글리시리진산디칼륨
202003860,염화나트륨
201601579,페닐레프린염산염|d-클로르페니라민말레산염
201700813,과산화수소수30%
200709062,홍화유|토코페롤아세테이트|피리독신염산염
199701227,로라타딘
200102527,세티리진염산염
202204254,건조황산제일철
201507215,록소프로펜나트륨수화물
200705800,디클로페낙디에틸암모늄
201803842,디클로페낙나트륨
201507124,살리실산메틸|L-멘톨|dl-캄파|박하유|토코페롤아세테이트|디펜히드라민|노닐산바닐릴아미드
200808304,케토프로펜
200500298,플루르비프로펜
201704002,살리실산메틸|l-멘톨|dl-캄파|노닐산바닐릴아미드
202005892,펠비낙
201508320,피록시캄
200808550,황백연조엑스(3.3→1)|치자연조엑스(3.0→1)|살리실산글리콜|l-멘톨|dl-캄파|토코페롤아세테이트
200303328,수도에페드린염산염|트리프롤리딘염산염수화물
200004060,아시클로버
198100609,살리실산메틸|L-멘톨|dl-캄파|티몰|디펜히드라민염산염
201803375,폴산
197200483,무수카페인|아세트아미노펜
199500967,무수카페인|아세트아미노펜
198803095,히프로멜로오스|덱스트란70
199803082,클로르헥시딘글루콘산염액|디펜히드라민염산염|디부카인염산염|알란토인|나파졸린염산염
198600267,아세틸시스테인
199200475,아세틸시스테인
200708954,사유|레티놀팔미테이트유|에르고칼시페롤과립|동클로로필
200710762,카르복시메틸셀룰로오스나트륨
202006971,비사코딜|티니벨리센나열매가루
202004930,비사코딜|센나열매가루
200501661,토코페롤아세테이트2배산|아스코르브산97|셀레늄함유건조효모|γ-오리자놀|비오틴|황산아연|시아노코발라민1000배산|폴산|티아민질산염|리보플라빈|피리독신염산염
200100576,수산화알루미늄겔(13%)|수산화마그네슘
201503940,레티놀아세테이트과립|니코틴산아미드|판토텐산칼슘|피리독신염산염|폴산|시아노코발라민1000배산|제피아스코르브산|콜레칼시페롤과립|토코페롤아세테이트2배산|산화마그네슘|산화아연|리보플라빈|벤포티아민
200301985,콘드로이틴설페이트나트륨|푸르설티아민|토코페롤아세테이트|니코틴산아미드|시아노코발라민|판토텐산칼슘|리보플라빈부티레이트|γ-오리자놀|피리독신염산염
201308209,레티놀팔미테이트|아스코르브산|농축콜레칼시페롤(유상)|토코페롤아세테이트|티아민질산염|리보플라빈|피리독신염산염|시아노코발라민1000배산|니코틴산아미드|폴산|비오틴|판토텐산칼슘|무수인산수소칼슘|푸마르산철|산화마그네슘|산화아연|셀레늄함유건조효모|산화제이구리|황산망간수화물|우르소데옥시콜산|피토나디온5%
202007137,덱스판테놀
201707822,디아스타제·프로테아제·셀룰라제|메타규산알루민산마그네슘|리파제|탄산수소나트륨|감초가루|침강탄산칼슘|스코폴리아엑스|트리메부틴말레산염
202001913,트록세루틴
200409934,D-판테놀|피리독신염산염|클로르페니라민말레산염|글리시리진산이칼륨|네오스티그민메틸황산염|테트라히드로졸린염산염|콘드로이틴설페이트나트륨|L-아스파르트산칼륨
200904679,펠비낙
202203366,아스코르브산과립97%|토코페롤아세테이트2배산|셀레늄함유건조효모|산화아연|농축콜레칼시페롤|유비데카레논
201604164,유비데카레논|토코페롤아세테이트|셀레늄함유건조효모|아스코르브산|농축콜레칼시페롤(유상)|산화아연
201801356,아스피린
201602871,에르도스테인
200501200,토코페롤아세테이트|에녹솔론|dl-캄파|글리세린
201105913,자하거엑스|티아민질산염|리보플라빈포스페이트나트륨|피리독신염산염|니코틴산아미드|카페인무수물
200301795,피리독신염산염|시아노코발라민|폴산
201900111,비사코딜|도큐세이트나트륨
201103116,콘드로이틴설페이트나트륨|푸르설티아민|리보플라빈부티레이트|니코틴산아미드|판토텐산칼슘|피리독신염산염|시아노코발라민|토코페롤아세테이트|γ-오리자놀
200901146,클로닉신리시네이트
201501322,콜린타르타르산염|이노시톨|γ-오리자놀|티아민질산염|리보플라빈|니코틴산아미드|폴산|판토텐산칼슘|피리독신염산염|d-비오틴|시아노코발라민|아스코르브산과립
201305371,피리독신염산염|d-비오틴|시아노코발라민|토코페롤아세테이트2배산|폴산|벤포티아민|니코틴산아미드|판토텐산칼슘|산화아연|아스코르브산과립|우르소데옥시콜산|이노시톨|리보플라빈|콜린타르타르산염|셀레늄함유건조효모
200502965,레티놀팔미테이트|농축콜레칼시페롤(유상)|토코페롤아세테이트|티아민질산염|리보플라빈|시아노코발라민1000배산|아스코르브산|피리독신염산염|니코틴산아미드|판토텐산칼슘|무수인산수소칼슘|산화마그네슘|산화제이구리|황산망간수화물|산화아연|건조황산제일철|마늘건조엑스(100→1)|γ-오리자놀
202003327,벤포티아민|비스벤티아민|리보플라빈부티레이트|니코틴산아미드|판토텐산칼슘|피리독살포스페이트수화물|폴산|시아노코발라민1000배산|이노시톨|콜린타르타르산염|제피아스코르브산|토코페롤아세테이트2배산|산화아연|셀레늄함유건조효모|산화마그네슘|농축콜레칼시페롤과립|우르소데옥시콜산|유비데카레논|감마오리자놀
200201550,케토프로펜
200302067,펠비낙
200300338,아크리놀수화물|탄닌산|산화아연
201404327,니자티딘
200501559,니자티딘
201802157,케토코나졸
200703926,니코틴폴라크리렉스
200703932,니코틴폴라크리렉스
201104297,니코틴
199703583,니코틴
199703584,니코틴
199703585,니코틴
201504059,니코틴폴라크릴렉스
201506144,니코틴
199806462,니코틴
199806463,니코틴
199806464,니코틴
200603856,니코틴
200511037,니코틴타르타르산염수화물
201003178,니코틴
200302728,니자티딘
199702130,케토코나졸
201404125,나프록센
201801599,우레아|글리시리진산이칼륨|토코페롤아세테이트
200210298,플루르비프로펜
200705433,나프록센나트륨
200501812,부테나핀염산염
201706530,현초가루|베르베린염화물수화물|아크리놀수화물
202006701,덱스판테놀
200300416,β-카로틴20%과립|에르고칼시페롤과립|토코페롤아세테이트2배산|아스코르브산과립97%|폴산|티아민질산염3배산|리보플라빈|피리독신염산염|니코틴산아미드|판토텐산칼슘|시아노코발라민100배산|d-비오틴1%|요오드화칼륨|푸마르산철|산화마그네슘|산화제이구리|황산아연수화물|황산망간수화물|인산수소칼슘수화물|염화칼륨|셀레늄함유건조효모|몰리브덴함유건조효모
201602093,비사코딜|도큐세이트나트륨
200904538,수산화마그네슘|우르소데옥시콜산|노회건조엑스
202004224,알벤다졸
200502128,아세트아미노펜|DL-메티오닌
200402560,디아스타제·프로테아제·셀룰라제|리파제|우르소데옥시콜산
200904507,비사코딜|도큐세이트나트륨|우르소데옥시콜산
201402572,알긴산나트륨|탄산수소나트륨|탄산칼슘
199102092,이부프로펜
200400785,글리시리진산이칼륨|클로르페니라민말레산염|리보플라빈부티레이트|피리독신염산염|제피아스코르브산|판토텐산칼슘
200905402,판크레아틴|셀룰라제|우담즙건조엑스|디메티콘
200902108,판크레아틴|셀룰라제|우담즙건조엑스|디메티콘
200200852,판크레아틴|셀룰라제|우담즙건조엑스|디메티콘
200904689,디아스타제·프로테아제·셀룰라제|리파제|우르소데옥시콜산|시메티콘파우더
200300583,디옥타헤드랄스멕타이트
198902158,암브록솔염산염
198902527,셀룰라제II|셀룰라제Ⅱ|파파인|펩신|디아스타제|판크레아틴|우르소데옥시콜산|판크레리파아제|판크레리파제
202002084,알벤다졸
201500673,이부프로펜
200003489,이부프로펜
202108048,감초|작약
201005795,덱시부프로펜
200000930,덱시부프로펜
200511327,인도메타신
200808028,디펜히드라민염산염
199700873,로라타딘
201803126,아스피린
201908540,알마게이트
200610975,알벤다졸
197000040,우르소데옥시콜산|티아민질산염|리보플라빈
199900511,이부프로펜
199501234,알마게이트
200300245,염화나트륨
200200304,관류용멸균증류수
199100317,염화나트륨
201606577,산화마그네슘
199601837,아시클로버
198801657,이부프로펜
200303274,케토코나졸
201209010,바실루스나토엔티주균가루|락토민|당약가루|계피가루|회향가루|메틸메티오닌설포늄염화물|디메틸폴리실록산ㆍ이산화규소혼합물|판토텐산칼슘에스|침강탄산칼슘|탄산마그네슘
201907628,D-비오틴|산화아연|농축콜레칼시페롤과립
