품목일련번호,combined,
198601920,11~14세는1회200~250mg(10~13mL)|7~10세는1회150~200mg(8~10mL)|3~6세는1회100~150mg(5~8mL)|1~2세는1회50~100mg(3~5mL)을1일3~4회복용합니다. 체중이30kg미만인어린이는1일량이500mg(25mL)을초과해서는안되며공복시투여는피하는것이바람직합니다.,
202200525,만12세이하의소아는1회권장용량을4-6시간마다필요시복용합니다 이약을복용하기전에만2세미만의소아는의사또는약사와상의하십시오.,
199500435,,
199806459,만12세이상의청소년은1일3회의범위내에서|1회1번각비강(코안)에뿌립니다  만12세미만의어린이는이약을복용하지마십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.,
201102450,12세이상어린이은1회1~2정씩|1일1회식후에복용합니다. 만12개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에미숙아유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
198400250,어린이에게투여할경우보호자의지도감독하에투여하십시오,
200610765,6세이상의소아는1일1회1정(10mg)을취침전에복용하고|이상반응에민감한환자의경우는1/2정(5mg)씩을아침|저녁에분할복용합니다. 신장애환자의투여간격은환자의신기능에따라조절되어야하고|신장애를가진소아환자는환자의신청소율과체중을고려하여개별적으로용량을조절해야하므로자세한사항은허가사항을참고하십시오.,
199400367,,
199300356,,
199600561,,
199800766,만12세이상소아은4시간마다10mL씩복용하되|24시간동안60mL를초과하지마십시오. 만6세이상~12세미만소아는4시간마다5mL씩복용하되|24시간동안30mL를초과하지마십시오. 만2세이상~6세미만소아는의사의지시에따르십시오. 이약을복용하기전에어린이는 의사또는약사와상의하십시오는의사또는약사와상의하십시오.,
199907094,,
201201484,어린이에게투여할경우보호자의지도감독하에투여하십시오.,
201505113,만12세이상은1회1번씩1일1~3회비강에분무합니다 만12세미만의어린이는이약을복용하지마십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
200109567,,
200200323,,
202106092,만12세이상소아은1회1~2정씩|1일3~4회(4~6시간마다)필요시복용합니다,
199401576,,
198300605,,
198900672,만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이는의사또는약사와상의하십시오.,
196800036,만3개월미만의영아만2세미만의소아는이약을복용하지마십시오.이약을복용하기전에 수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이는의사또는약사와상의하십시오.,
200700547,이약을복용하기전에수두또는인플루엔자에감염되어있거나의심되는영아및만15세미만의어린이는의사또는약사와상의하십시오.,
199400202,만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아 및만15세미만의어린이만3개월이상및 만2세미만의영아유아는의사또는약사와상의하십시오.,
196000011,미숙아및신생아는 이약을복용하지마십시오.이약을복용하기전에 3세미만유아는의사또는약사와상의하십시오.,
200600050,,
200201397,2~4세는1일2회1회2mL|4~7세는1일2회1회3mL|7~15세는1일2회1회5mL를복용합니다 2세이하의영아는이약을복용하지마십시오.,
199900926,만7세이하의어린이는이약을복용하지마십시오,
199801026,만8세~만15세의소아는1회1정을1일3회식후에씹지말고복용합니다. 만7세이하의어린이는 이약을복용하지마십시오,
201800124,만8세이상1회1정씩|1일1회복용합니다. 만12개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에만1세미만의젖먹이햇빛을많이보고정상적인식사를하는어린이미숙아유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
201507217,어린이에게투여할경우보호자의지도감독하에투여하십시오,
200511943, 12개월미만의영아는이약을복용하지마십시오.,
201701571,12개월미만의영아는이약을복용하지마십시오.,
199200813,,
200005559,신생아및6개월미만의영아는이약을사용하지마십시오.,
201904494,,
201600574,,
198601398,소아(12~14세)는1회1/2정을1일3회매식후에복용합니다.  2세이하의영아는이약을복용하지마십시오.이약을복용하기전에12세미만의소아는의사또는약사와상의하십시오는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
201700839,,
200808096,12세이하소아는 이약을복용하지마십시오.,
202102087,,
200308596,어린이에게투여할경우보호자의지도감독하에투여하십시오,
201507261,,
199902902,,
198802329,,
198802326,,
198601346,,
201908292,,
201604859,,
201501890,,
201405117,,
201800788,,
197600614,유아의유당불내에의한소화불량에는베타갈락토시다제로서1회1|250~2|500ONPG단위를수유시함께복용합니다,
201903837,,
200702008,어린이에게투여할경우보호자의지도감독하에투여하십시오,
201500053,만12세이상1회1캡슐씩|1일2회복용합니다. 이약을복용하기전에미숙아유아는의사또는약사와상의하십시오.,
201603917,만12세이상청소년은1회1캡슐씩|1일2회복용합니다. 이약을복용하기전에미숙아유아는의사또는약사와상의하십시오.,
200004479,11세이상~15세미만은1회2/3포|7세이상~11세미만은1회1/2포|3세이상~7세미만은1회1/3포|2세이상~3세미만은1회1/4포씩1일3회식후30분에복용합니다. 만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이만2세미만영유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
200801645,12세이상의소아는1회10~20mL을1일4회(식후및취침전)복용합니다. 이약을복용하기전에12세미만의어린이는의사또는약사와상의하십시오는의사또는약사와상의하십시오.,
200606295,이약을복용하기전에12세미만의어린이는의사또는약사와상의하십시오는의사또는약사와상의하십시오.,
200500268,어린이에게투여할경우보호자의지도감독하에투여하십시오,
201700245,,
197000208,,
199501099,,
196400046,만8세이상15세미만은1회1정|1일3회식간(식사때와식사때사이)및취침시복용합니다,
202007294,1일1~3회공복(빈속)시를피하여복용합니다 만3개월미만의영아(갓난아기)는이약을복용하지마십시오.이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아(갓난아기)및만15세미만의어린이만3개월이상만2세미만의영아(갓난아기)는의사또는약사와상의하십시오.,
202107495,만12세이상소아는1회1~2정씩|1일3~4회(4~6시간마다)필요시복용합니다,
201908295,만11세이상은1회1캡슐|1일1~3회공복(빈속)시를피하여복용합니다 만3개월미만의영아(갓난아기)는이약을복용하지마십시오.이약을복용하기전에 수두또는인플루엔자에감염되어있거나또는의심되는영아(갓난아기)및만15세미만의어린이 만3개월이상만1세미만의영아(갓난아기)는의사또는약사와상의하십시오.,
202006756,만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이만3개월이상만1세미만의영아는의사또는약사와상의하십시오.,
201708500,15세미만은사용하지마십시오.,
201310271,12세이상의소아는1회2정(1g)씩|1일3회식후30분~1시간에씹어서복용합니다,
199001305,3개월미만의영아는이약을복용하지마십시오이약을복용하기전에3개월이상및1세미만의영아는의사또는약사와상의하십시오,
201400916,12세이상소아는1회10~20mL을1일4회|식후및취침전에복용합니다. 이약을복용하기전에12세미만의어린이는의사또는약사와상의하십시오.,
201403247,이약을복용하기전에12세미만의어린이는의사또는약사와상의하십시오는의사또는약사와상의하십시오.,
201907880,12세이상의소아는1회10~20mL을1일4회(식후및취침전)복용합니다. 이약을복용하기전에12세미만의어린이는의사또는약사와상의하십시오.,
200607914,12세이상의소아는1회1∼1.5g을1일3회식후30분∼1시간에복용합니다,
201201680,이약을복용하기전에미숙아유아는의사또는약사와상의하십시오.,
201708580,만3개월미만의젖먹이는 이약을복용하지마십시오이약을복용하기전에 만1세미만의젖먹이는의사또는약사와상의하십시오.,
199702146,,
200501415,이약을복용하기전에미숙아유아는의사또는약사와상의하십시오.,
201403474,,
201307766,만24개월이상~만8세미만은1일1회|1회1정|만8세이상은1회1정씩|1일2회녹이거나씹어서복용합니다. 만3개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에 만1세미만의젖먹이 햇빛을많이보고정상적인식사를하는어린이미숙아유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.,
200904353,,
200612402,소아는이약을사용하지마십시오.,
201906917,,
201309112,,
202106054,이약을복용하기전에속쓰림증상이3개월이상지속된경우는의사또는약사와상의하십시오.,
202107682,,
201206820,,
201801425,어린이에게투여할경우보호자의지도감독하에투여하십시오,
200600411,만6세이하의어린이가과량복용시철분중독성사망을일으킬수있으므로어린이의손에닿지않는곳에보관하십시오. 만12개월미만의영아는이약을복용하지마십시오.,
200202997,2세미만의영아는이약을사용하지마십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
199101745,소아는이약을사용하지마십시오.,
201205043,12세이상은1회1정씩|1일1회복용합니다. 만6세이하의어린이가과량복용시철분중독성사망을일으킬수있으므로어린이의손에닿지않는곳에보관하십시오. 만12개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에미숙아유아는의사또는약사와상의하십시오.,
201306109,만12세이상은1회1정씩|1일1회복용합니다. 이약을복용하기전에만1세미만의젖먹이햇빛을많이보고정상적인식사를하는어린이미숙아유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
200802314, 12개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에미숙아유아는의사또는약사와상의하십시오.,
199902612,,
201507097,어린이에게사용할경우보호자의지도감독하에사용하십시오,
200402786,어린이에게투여할경우보호자의지도감독하에투여하십시오,
201503562,,
201600289,,
201802148,어린이에게투여할경우보호자의지도감독하에투여하십시오,
201701095,만12세이상1회1병씩|1일2회식후에복용합니다. 만12개월미만의젖먹이는이약을복용하지마십시오.,
201903344,만12세이상은1일2회|1회1병을식후에복용합니다. 만12개월미만의젖먹이는이약을복용하지마십시오.,
201702015,,
201907347,만8세이상은1회1병|1일1회복용합니다. 이약을복용하기전에만1세미만의젖먹이미숙아유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오1개월이상복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,
202107393,이약을복용하기전에어린이는의사또는약사와상의하십시오는의사또는약사와상의하십시오.,
200608182,이약을복용하기전에미숙아유아는의사또는약사와상의하십시오는의사또는약사와상의하십시오.,
201404328,만11세이상~만15세미만은1일3회2/3병|만7세이상~만11세미만은1일3회1/2병|만3세이상~만7세미만은1일3회1/3병|만1세이상~만3세미만은1일3회1/4병을식후30분에복용합니다.  만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이 만2세미만의영ㆍ유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
201908635,만11세이상~만15세미만은1회2/3병|만7세이상~만11세미만은1회1/2병|만3세이상~만7세미만은1회1/3병|만1세이상~만3세미만은1회1/4병|1일3회식후30분에복용합니다 만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에 수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이 만3개월이상및만2세미만의영ㆍ유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
200908059,6세이상의소아는1회1포(1g)|1일2회물에희석하여복용합니다 어린이에게투여할경우보호자의지도감독하에투여하십시오,
201402679,어린이에게투여할경우보호자의지도감독하에투여하십시오,
201502890,,
200103999,,
201800233,신생아및6개월미만의영아는이약을사용하지마십시오.,
200203626, 신생아및6개월미만의영아는이약을복용하지마십시오.,
200302817, 신생아및6개월미만의영아는이약을복용하지마십시오.,
200801346,,
200302820,어린이에게투여할경우보호자의지도감독하에투여하십시오,
200801347,,
200801686,만3개월미만의젖먹이는이약을복용하지마십시오.,
200809204,7~14세어린이는1회1정씩|1일1회복용합니다.,
200102905,12세이상의소아는1일1회1정(10mg)복용합니다. 6~12세미만의소아는체중이30kg이상인경우1일1회1정(10mg)|30kg이하인경우1일1회1/2정(5mg)복용합니다  만6세미만의소아는이약을복용하지마십시오.,
201900929,소아는이약을사용하지마십시오.,
201404877,,
199700530,소아는이약을사용하지마십시오,
201708002,,
200900682,이약을복용하기전에6세미만의어린이는의사또는약사와상의하십시오.,
201503529,만11세이상∼만15세미만1회2/3병|만7세이상∼만11세미만1회1/2병|만3세이상∼만7세미만1회1/3병|만2세이상∼만3세미만1회1/4병|만2세이상∼만3세미만1회1/4병을1일3회식후30분에복용합니다 이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이만3개월이상또는만2세미만의영ㆍ유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
201503528,이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이만3개월이상또는만2세미만의영ㆍ유아는의사또는약사와상의하십시오.,
202106656,,
201705221,이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아 및만15세미만의어린이는의사또는약사와상의하십시오.,
202107347,만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에만3개월이상및만2세미만의영·유아수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이는의사또는약사와상의하십시오.,
201903015,이약을복용하기전에6세미만의어린이는의사또는약사와상의하십시오.,
201800891,,
200902301,15세미만의소아는 이약을복용하지마십시오.,
201400509,이약을복용하기전에만 3개월미만의영아(갓난아기)는의사또는약사와상의하십시오.,
201705220,이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아 및만15세미만의어린이는의사또는약사와상의하십시오.,
201705219,이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아 및만15세미만의어린이는의사또는약사와상의하십시오.,
200906330,,
198800444,이약을복용하기전에철분제를복용중인 어린이는 의사또는약사와상의하십시오.는의사또는약사와상의하십시오.,
198700431,,
199502365,,
200202148,이약을복용하기전에6세미만의어린이는의사또는약사와상의하십시오.,
199603311,6~11세는1회10g(20mL)|1~5세는1회5g(10mL)|1세미만은1회2.5g(5mL)을항문내주입합니다 어린이에게투여할경우보호자의지도감독하에투여하십시오,
201802836,만7세이상의소아는1회2번씩비강내에분무합니다 만2세미만의영아(젖먹이)만7세미만의어린이는이약을복용하지마십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
201603449,만12세이상은1회4티스푼(20mL)|만6세이상~만12세미만은1회2티스푼(10mL)|만2세이상~만6세미만은1회1티스푼(5mL)|4~6시간마다복용하고|24시간동안4회를넘지않습니다. 이약을복용하기전에만2세미만의영아는의사또는약사와상의하십시오.,
200902769,,
202007330,이약을복용하기전에만10세이하의어린이는의사또는약사와상의하십시오.,
202002580,,
200701274,,
199803877,어린이에게투여할경우보호자의지도감독하에투여하십시오,
201405928,만11세이상~만15세미만1회11/3캡슐씩|만8세이상~만11세미만은1회1캡슐씩|1일3회식후30분에복용합니다.  만3개월미만의영아는이약을복용하지마십시오.,
201901010,11세이상~15세미만소아는1회14mL|8세이상~11세미만소아는1회10mL|5세이상∼8세미만소아는1회8mL|3세이상∼5세미만소아는1회6mL|2세이상∼3세미만소아는1회4mL를1일3~4회식후및취침시에복용합니다. 이약을복용하기전에만2세미만의소아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
201402984,만3개월미만의영아및만2세미만의소아는이약을복용하지마십시오.이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이는의사또는약사와상의하십시오.,
200502775,만11세이상~만15세미만은1회10mL|만7세이상~만11세미만은1회7.5mL|만3세이상~만7세미만은1회5mL|만2세이상~만3세미만은1회3.8mL씩|1일3∼4회|매식후에복용합니다 이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이만3개월이상및만2세미만의영아유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
200608329,만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에 수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이 만3개월이상및만2세미만의영‧유아는의사또는약사와상의하십시오.,
201802109,어린이에게투여할경우보호자의지도감독하에투여하십시오,
199600830,청소년(12세이상|35kg이상)은1회10mg(레보도파투여시5mg)을1일3회식전에복용합니다,
200004840,,
200004835,,
200503144,,
200302512,어린이에게투여할경우보호자의지도감독하에투여하십시오,
200502782,11~14세는1회200~250mg(10~13mL)|7~10세는1회150~200mg(8~10mL)|3~6세는1회100~150mg(5~8mL)|1~2세는1회50~100mg(3~5mL)을1일3~4회복용합니다. 체중이30kg미만인어린이는1일량이500mg(25mL)을초과해서는안되며공복시투여는피하는것이바람직합니다.,
201801264, 신생아및6개월미만의영아는이약을복용하지마십시오.,
199904088,신생아및6개월미만의영아는이약을사용하지마십시오.,
200611367, 신생아및6개월미만의영아는이약을복용하지마십시오.,
199503352, 신생아및6개월미만의영아는이약을복용하지마십시오.,
200901086,,
201505097,2개월이하의영아는이약을사용하지마십시오.,
201804672,,
201901012,,
202005237,,
201801263,,
201803651,,
201506622,2개월이하의영아는이약을사용하지마십시오.,
200302514,,
201307834,12세이상의소아는1회2정(1g)을1일3회식후30분~1시간에씹어서복용합니다,
201207377,이약을복용하기전에6세미만의어린이는의사또는약사와상의하십시오.,
201402959,,
201305220,,
202101356,만8세이상은1회1정씩|1일1회복용합니다.,
202009258,,
199701904,,
201902007,,
202002332,,
201202397,8세~14세소아는1회1캡슐씩|1일3회식후에복용합니다. 8세미만의소아는이약을복용하지마십시오.,
200004264, 만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에 만3개월이상및만2세미만영ㆍ유아는의사또는약사와상의하십시오.,
201508445,8세~14세소아는1회1캡슐씩|1일3회식후에복용합니다. 8세미만의소아는이약을복용하지마십시오.,
201605499,8세~14세소아는1회1캡슐씩|1일3회식후에복용합니다. 8세미만의소아는이약을복용하지마십시오.,
201603223,8세~14세소아는1회1캡슐씩|1일3회식후에복용합니다. 8세미만의소아는이약을복용하지마십시오.,
201606791,8세~14세소아는1회1캡슐씩|1일3회식후에복용합니다. 8세미만의소아는이약을복용하지마십시오.,
201309432,이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이는의사또는약사와상의하십시오.,
201309433,만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에 수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이만2세미만의영아ㆍ유아는의사또는약사와상의하십시오.,
201309431,만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아 및만15세미만의어린이는의사또는약사와상의하십시오.,
200109392,어린이에게투여할경우보호자의지도감독하에투여하십시오,
200002783,,
197200084,,
200803434,6세이상의소아는1일1회1정(10mg)을취침전에복용하고|이상반응에민감한환자의경우는1/2정(5mg)씩을아침|저녁에분할복용합니다. 신장애환자의투여간격은환자의신기능에따라조절되어야하고|신장애를가진소아환자는환자의신청소율과체중을고려하여개별적으로용량을조절해야하므로자세한사항은허가사항을참고하십시오.,
200000493,만8세~만14세는1회1캡슐씩|1일3회식후에복용합니다. 만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에만3개월이상및만2세미만의영아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
199900216,만11세이상~만15세미만은1회2/3병(50mL)|만8세이상~만11세미만은1회1/2병(37.5mL)|만5세이상~만8세미만은1회1/3병(25mL)|만3세이상~만5세미만은1회1/4병(18.75mL)|만1세이상~만3세미만은1회1/5병(15mL)|1일3회식후에복용합니다. 만3개월미만의젖먹이는이약을복용하지마십시오이약을복용하기전에 만1세미만의젖먹이는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
200200166,만11세이상~만15세미만은2/3병|만8세이상~만11세미만은1/2병|만5세이상~만8세미만은1/3병|만3세이상~만5세미만은1/4병|만1세이상~만3세미만은1/5병|1일3회식후에복용합니다 만3개월미만의젖먹이는이약을복용하지마십시오이약을복용하기전에 만1세미만의젖먹이는 의사또는약사와상의하십시오어린이에게투여할경우보호자의지도감독하에투여하십시오,
201508272,,
198900667,만11세이상~만15세미만은1회2/3병(50mL)|만8세이상~만11세미만은1회1/2병(37.5mL)|만5세이상~만8세미만은1회1/3병(25mL)|만3세이상~만5세미만은1회1/4병(18.75mL)|만1세이상~만3세미만은1회1/5병(15mL)|1일3회식후에복용합니다. 만3개월미만의젖먹이에게사용하지마십시오이약을복용하기전에 만1세미만의젖먹이는의사또는약사와상의하십시오. 만1세미만의젖먹이는이약을복용하지마십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
202002089,,
200904182,만8세이상어린이는1회1캡슐씩|1일3회복용합니다. 이약을복용하기전에만1세미만의젖먹이햇빛을많이보고정상적인식사를하는어린이미숙아유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
199803133,6세이상의소아는1일1회1정(10mg)을취침전에복용하고|이상반응에민감한환자의경우는1/2정(5mg)씩을아침|저녁에분할복용합니다.신장애를가진소아환자는환자의신청소율과체중을고려하여개별적으로용량을조절해야하므로자세한사항은허가사항을참고하십시오.,
202201153,,
200404625,18세미만는이약을복용하지마십시오.,
200503609, 18세미만환자는이약을복용하지마십시오.,
200404626, 18세미만환자는이약을복용하지마십시오.,
199800354,소아는이약을사용하지마십시오.,
200300114,2세이상은1일1∼3회|질환부위에적당량을바릅니다.,
199401319,,
199701981,소아는이약을사용하지마십시오.,
198701721,11~14세는1회200~250mg|7~10세는1회150~-200mg|3~6세는1회100~150mg|1~2세는1회50~100mg을1일3~4회경구투여합니다. 체중이30kg미만인어린이는1일량이500mg을초과해서는안되며공복시복용은피하는것이바람직합니다,
201403877,,
198900833,7세이상의소아는1회1~2번씩비강내에분무합니다 만7세미만의유아는이약을복용하지마십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.,
201502828,만12세이상은1회1번씩|1일3회의범위내에서각코안에8시간이상간격을두고뿌립니다. 만12세미만의어린이는이약을복용하지마십시오.어린이에게사용할경우보호자의지도감독하에사용하십시오.,
200202212,소아는이약을사용하지마십시오,
199701567,소아는이약을사용하지마십시오,
199802633,소아는이약을사용하지마십시오,
199900298,6세이하의유아는 이약을사용하지마십시오,
199604593,,
201707455,만7세이하의영는이약을복용하지마십시오.유아에게는투여하지않습니다,
202200195,만12세이하의소아는1회권장용량을4-6시간마다필요시복용합니다 이약을복용하기전에만2세미만의소아는의사또는약사와상의하십시오.,
201906314,만12세이상소아는1회2캡슐(650mg)1일3~4회(4~6시간마다)필요시복용합니다,
201306491,,
201401095,,
201309340,,
200004101,어린이에게투여할경우보호자의지도감독하에투여하십시오,
200301635,,
201604724,만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에 수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이 만3개월이상및만2세미만의영‧유아는의사또는약사와상의하십시오.,
201604716,만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에만3개월이상및만2세미만의영‧유아는의사또는약사와상의하십시오.만7세이하영·유아에게는시럽제를복용시키십시오,
201604721, 만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에 수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이 만3개월이상및만2세미만의영‧유아는의사또는약사와상의하십시오.,
201602427,만8세이상1회1정씩|1일1회식후에복용합니다. 만6세이하의어린이가과량복용시철분중독성사망을일으킬수있으므로어린이의손에닿지않는곳에보관하십시오. 만12개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에미숙아유아는의사또는약사와상의하십시오.,
200906231,필요시2~3시간마다영아는1회|1개월~12개월은1~2회|1세~2세는1~3회|2세~5세는1~4회|5세~8세는1~5회|8세~12세는1~6회분무(뿌림)합니다,
199302995,,
199202073,,
199500319,만11세이상~만15세미만10mL|만7세이상~만11세미만7mL|만3세이상~만7세미만5mL|만2세이상~만3세미만3mL|1일4회식후30분및취침시에복용합니다. 만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에 수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이만3개월이상및만2세미만의영아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
201605527,,
200500806,,
201701248,,
200204388,,
199802387,,
201500014,,
202003877,,
201902876,,
201607113,,
201606467,,
201206888,,
200803287,,
201400552,,
201501592,,
197500016,이약을복용하기전에고령자 및2세이하의영아는 의사또는약사와상담하십시오.는의사또는약사와상의하십시오.,
201101508,어린이에게투여할경우보호자의지도감독하에투여하십시오,
201101801,만3개월미만의영아및만2세미만의소아는이약을복용하지마십시오.,
201107450,이약을복용하기전에 수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이는의사또는약사와상의하십시오.,
201802270,,
202102183,어린이에게투여할경우보호자의지도감독하에투여하십시오.,
201606068,,
199302919,어린이에게투여할경우보호자의지도감독하에투여하십시오,
201201967,3개월미만의영아는이약을복용하지마십시오.,
202002321,24개월이상의소아는요충에감염된경우1일1회|1정(400mg)복용합니다 2세미만의소아는이약을복용하지마십시오.,
199801121,,
200801383,만8세이상어린이은1회2정|1일1회식후복용합니다. 만12개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에 햇빛을많이보고정상적인식사를하는어린이미숙아유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.,
201309541,만11세이상~만15세미만은1회11/3정씩|만7세이상~만11세미만은1회1정씩|1일3회식후30분에복용합니다. 만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에 수두또는인플루엔자에감염되어있거나또는의심되는영아및만15세미만의어린이 만3개월이상및만2세미만의영‧유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
201706691,이약을복용하기전에수두또는인플루엔자에감염되어있거나또는의심되는영아 및만15세미만의어린이는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
201800286,만3개월미만의영아는이약을복용하지마십시오.이약을복용하기전에만3개월이상및만2세미만의영ㆍ유아는의사또는약사와상의하십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오,
200204181,,
201803647,,
